activity_id,user_id,hotel_id,is_bookmark,is_watching
a0001,u1197,h1013,1,0
a0002,u1386,h1019,0,1
a0003,u0941,h1002,1,0
a0004,u0089,h1016,0,1
a0005,u0389,h1021,1,0
a0006,u0344,h1006,1,0
a0007,u0636,h1005,1,0
a0008,u1412,h1020,1,0
a0009,u0423,h1015,0,1
a0010,u0263,h1017,0,1
a0011,u1297,h1014,1,0
a0012,u0430,h1006,1,0
a0013,u1309,h1002,0,1
a0014,u0002,h1007,0,1
a0015,u1440,h1011,0,1
a0016,u0540,h1016,1,0
a0017,u0235,h1008,0,1
a0018,u1280,h1015,0,1
a0019,u0453,h1019,0,1
a0020,u0079,h1002,0,1
a0021,u0306,h1020,0,1
a0022,u1490,h1020,0,1
a0023,u1383,h1006,0,1
a0024,u0038,h1021,0,1
a0025,u0947,h1013,0,1
a0026,u0869,h1009,1,0
a0027,u0553,h1015,0,1
a0028,u1436,h1003,0,1
a0029,u1413,h1021,0,1
a0030,u1347,h1017,0,1
a0031,u0763,h1023,0,1
a0032,u0419,h1002,0,1
a0033,u1143,h1004,0,1
a0034,u0295,h1020,0,1
a0035,u1114,h1023,0,1
a0036,u1241,h1010,1,0
a0037,u0724,h1013,0,1
a0038,u0961,h1010,1,0
a0039,u1032,h1017,0,1
a0040,u0494,h1020,1,0
a0041,u1133,h1006,1,0
a0042,u1280,h1015,0,1
a0043,u0033,h1009,0,1
a0044,u1357,h1012,0,1
a0045,u0908,h1011,0,1
a0046,u1414,h1005,1,0
a0047,u0802,h1001,1,0
a0048,u0565,h1001,1,0
a0049,u0790,h1017,1,0
a0050,u0563,h1015,1,0
a0051,u1357,h1018,0,1
a0052,u0837,h1004,0,1
a0053,u0564,h1012,0,1
a0054,u0454,h1017,1,0
a0055,u0279,h1023,0,1
a0056,u1190,h1023,0,1
a0057,u1390,h1013,0,1
a0058,u1208,h1018,1,0
a0059,u0925,h1016,0,1
a0060,u0055,h1015,0,1
a0061,u0230,h1011,0,1
a0062,u0046,h1012,0,1
a0063,u1235,h1006,0,1
a0064,u0821,h1003,1,0
a0065,u1441,h1008,0,1
a0066,u1231,h1002,0,1
a0067,u1387,h1011,0,1
